validity;aspect;detail;phase;score;max_score;project_letter
IV;Blinding;Intervention giving;Exploratory Stage;0;1;K
IV;Blinding;Intervention giving;Confirmatory Stage;1;1;K
IV;Blinding;Outcome assessment;Exploratory Stage;0;1;K
IV;Blinding;Outcome assessment;Confirmatory Stage;1;1;K
IV;Blinding;Data analysis;Exploratory Stage;0;1;K
IV;Blinding;Data analysis;Confirmatory Stage;1;1;K
IV;Controls;Negative control;Exploratory Stage;1;1;K
IV;Controls;Negative control;Confirmatory Stage;1;1;K
IV;Controls;Positive control;Exploratory Stage;0;1;K
IV;Controls;Positive control;Confirmatory Stage;0;1;K
IV;Controls;Comparator;Exploratory Stage;0;1;K
IV;Controls;Comparator;Confirmatory Stage;0;1;K
IV;Controls;Sham mock naive;Exploratory Stage;0;1;K
IV;Controls;Sham mock naive;Confirmatory Stage;1;1;K
IV;Population;Inclusion criteria;Exploratory Stage;1;1;K
IV;Population;Inclusion criteria;Confirmatory Stage;1;1;K
IV;Population;Exclusion criteria;Exploratory Stage;1;1;K
IV;Population;Exclusion criteria;Confirmatory Stage;1;1;K
EV;Multi-Lab;Multi lab approach;Exploratory Stage;0;1;K
EV;Multi-Lab;Multi lab approach;Confirmatory Stage;0;1;K
EV;Population;Age;Exploratory Stage;1;2;K
EV;Population;Age;Confirmatory Stage;1;2;K
EV;Population;Sex;Exploratory Stage;1;2;K
EV;Population;Sex;Confirmatory Stage;2;2;K
EV;Population;Health status;Exploratory Stage;1;2;K
EV;Population;Health status;Confirmatory Stage;1;2;K
SV;Statistics;Power calculation;Exploratory Stage;0;1;K
SV;Statistics;Power calculation;Confirmatory Stage;1;1;K
SV;Statistics;Outcome a priori;Exploratory Stage;1;1;K
SV;Statistics;Outcome a priori;Confirmatory Stage;1;1;K
SV;Statistics;Statistical advice;Exploratory Stage;0;1;K
SV;Statistics;Statistical advice;Confirmatory Stage;1;1;K
TV;Model;Species;Exploratory Stage;1;2;K
TV;Model;Species;Confirmatory Stage;1;2;K
TV;Model;Strain;Exploratory Stage;1;2;K
TV;Model;Strain;Confirmatory Stage;1;2;K
TV;Disease;Disease simulation;Exploratory Stage;1;2;K
TV;Disease;Disease simulation;Confirmatory Stage;1;2;K
TV;Disease;Outcome readout;Exploratory Stage;1;1;K
TV;Disease;Outcome readout;Confirmatory Stage;1;1;K
TV;Intervention;Scheme;Exploratory Stage;1;1;K
TV;Intervention;Scheme;Confirmatory Stage;1;1;K
IV;Randomization;Group allocation;Exploratory Stage;1;1;F
IV;Randomization;Group allocation;Confirmatory Stage;1;1;F
IV;Randomization;Intervention giving;Exploratory Stage;0;1;F
IV;Randomization;Intervention giving;Confirmatory Stage;1;1;F
IV;Randomization;Data analysis scoring;Exploratory Stage;0;1;F
IV;Randomization;Data analysis scoring;Confirmatory Stage;0;1;F
IV;Randomization;Randomization method;Exploratory Stage;0;2;F
IV;Randomization;Randomization method;Confirmatory Stage;0;2;F
IV;Blinding;Group allocation;Exploratory Stage;0;1;F
IV;Blinding;Group allocation;Confirmatory Stage;1;1;F
IV;Blinding;Intervention giving;Exploratory Stage;0;1;F
IV;Blinding;Intervention giving;Confirmatory Stage;1;1;F
IV;Blinding;Outcome assessment;Exploratory Stage;0;1;F
IV;Blinding;Outcome assessment;Confirmatory Stage;0;1;F
IV;Blinding;Data analysis;Exploratory Stage;0;1;F
IV;Blinding;Data analysis;Confirmatory Stage;0;1;F
IV;Controls;Negative control;Exploratory Stage;1;1;F
IV;Controls;Negative control;Confirmatory Stage;1;1;F
IV;Controls;Positive control;Exploratory Stage;1;1;F
IV;Controls;Positive control;Confirmatory Stage;1;1;F
IV;Controls;Comparator;Exploratory Stage;0;1;F
IV;Controls;Comparator;Confirmatory Stage;1;1;F
IV;Controls;Sham mock naive;Exploratory Stage;1;1;F
IV;Controls;Sham mock naive;Confirmatory Stage;0;1;F
IV;Population;Inclusion criteria;Exploratory Stage;1;1;F
IV;Population;Inclusion criteria;Confirmatory Stage;1;1;F
IV;Population;Exclusion criteria;Exploratory Stage;1;1;F
IV;Population;Exclusion criteria;Confirmatory Stage;1;1;F
EV;Multi-Lab;Multi lab approach;Exploratory Stage;0;1;F
EV;Multi-Lab;Multi lab approach;Confirmatory Stage;1;1;F
EV;Population;Age;Exploratory Stage;1;2;F
EV;Population;Age;Confirmatory Stage;1;2;F
EV;Population;Sex;Exploratory Stage;1;2;F
EV;Population;Sex;Confirmatory Stage;1;2;F
EV;Population;Health status;Exploratory Stage;1;2;F
EV;Population;Health status;Confirmatory Stage;1;2;F
SV;Statistics;Power calculation;Exploratory Stage;0;1;F
SV;Statistics;Power calculation;Confirmatory Stage;1;1;F
SV;Statistics;Outcome a priori;Exploratory Stage;1;1;F
SV;Statistics;Outcome a priori;Confirmatory Stage;1;1;F
SV;Statistics;Statistical advice;Exploratory Stage;0;1;F
SV;Statistics;Statistical advice;Confirmatory Stage;1;1;F
TV;Model;Species;Exploratory Stage;1;2;F
TV;Model;Species;Confirmatory Stage;1;2;F
TV;Model;Strain;Exploratory Stage;1;2;F
TV;Model;Strain;Confirmatory Stage;1;2;F
TV;Disease;Disease simulation;Exploratory Stage;1;2;F
TV;Disease;Disease simulation;Confirmatory Stage;1;2;F
TV;Disease;Outcome readout;Exploratory Stage;1;1;F
TV;Disease;Outcome readout;Confirmatory Stage;1;1;F
TV;Intervention;Scheme;Exploratory Stage;1;1;F
TV;Intervention;Scheme;Confirmatory Stage;1;1;F
