source;stage;publication;doi;id;plot_id;confirmed_with_table?;notes;primary_outcome;figure_panel;measure;center;group;subgroup;group_es;mean;sem;sd;sample_size;additional_notes;mean_difference;pooled_sd;J;hedges_g;se_g;EU;score_incl_excl_criteria;notes_incl_excl_criteria;score_controls_usage;notes_controls_usage;score_randomization;notes_randomization;score_blinding;notes_blinding;iv_score
Hunningford Paper;Multi_lab;Shear, 2016;https://doi.org/10.1089/neu.2015.4115;15;;;Single center data shown;;;;;;;;;;;;;;;;;;;;;;;;;;;
New screening 2020-25;Exploratory;Garg, 2013;https://doi.org/10.1523/JNEUROSCI.1854-13.2013;16;7;;means extracted;phenotipic score 9 weeks;Fig 3b females;au;;CTRL;;;0,185249018;0,15437392;0,488173198;10;;;;;;;;;;;;;;;;
New screening 2020-25;Exploratory;Garg, 2013;https://doi.org/10.1523/JNEUROSCI.1854-13.2013;16;7;;means extracted;phenotipic score 9 weeks;Fig 3b females;au;;Mecp2-Heterozygous;;ctrl;3,283019246;0,380788688;1,204159562;10;;2,33;0,946882315;0,957746479;2,352587118;0,58169292;20;0;none;2;neg and pos ctrl;0;na;0;na;2
New screening 2020-25;Exploratory;Garg, 2013;https://doi.org/10.1523/JNEUROSCI.1854-13.2013;16;7;;means extracted;phenotipic score 9 weeks;Fig 3b females;au;;Mecp2-KO_treated;;treated;0,957118617;0,185249018;0,585808831;10;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 1c males;au;NHC;CTRL;;;0,053639612;0,084291654;0,53310723;40;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 1c males;au;NHC;Mecp2-KO;;ctrl;3,325670566;0,321838988;2,110439379;43;;1,82;1,915456114;0,985507246;0,93438444;0,349641139;54;0;unclear;2;neg and pos ctrl;0;na;1;analysis;3
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 1c males;au;NHC;Mecp2-KO_exogenous_AAV9-MecP2;;treated;1,509577996;0,183908745;0,609956302;11;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 4d males;au;Edinburgh;CTRL;;;1,293232835;0,466165177;1,546094984;11;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 4d males;au;Edinburgh;Mecp2-KO;;ctrl;5,969924841;0,210525969;1,133717037;29;;3,79;1,413763255;0,979020979;2,624183563;0,486007817;38;;;;;;;;;
New screening 2020-25;Multi_lab;Powers, 2023;https://doi.org/10.1016/j.ymthe.2023.07.013;16;7;x;means extracted;severity score 60 days;Fig 4d males;au;Edinburgh;Mecp2-KO_exogenous_AAV9-MecP2;;treated;2,180451097;0,706766448;2,120299345;9;;;;;;;;;;;;;;;;
New screening 2020-25;Exploratory;Meloche, 2015;https://doi.org/10.1161/CIRCRESAHA.115.307004;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 B;mmHg;;DMSO;;ctrl;78,44971444;;11,42770328;7; JQ1 is the BRD4 inhibitor;16,43;9,586117875;0,930232558;1,5945321;0,638211192;13;0;unclear;2;positive (siRNA) and negative (veh) ;1;simple randomization;1;blinded measurements;4
New screening 2020-25;Exploratory;Meloche, 2015;https://doi.org/10.1161/CIRCRESAHA.115.307004;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 B;mmHg;;JQ1;;treated;62,01793883;;6,742044226;6;;;;;;;;;;;;;;;;
New screening 2020-25;Exploratory;Gelderblom, 2012;https://doi.org/10.1182/blood-2012-02-412726;18;9;x;Raw data plot extracted;infarct volume;Fig 5B;mm3;;IgG control;;ctrl;24,20823475;;4,503937958;6;;12,91;5,83347821;0,923076923;2,042182587;0,712112752;12;1;inclusion mentioned;1;isotype ctrl;1;simple randomization;2;all scientists blinded;5
New screening 2020-25;Exploratory;Gelderblom, 2012;https://doi.org/10.1182/blood-2012-02-412726;18;9;x;Raw data plot extracted;infarct volume;Fig 5B;mm3;;anti-IL17a;;treated;11,30245482;;6,911836148;6;;;;;;;;;;;;;;;;
New screening 2020-25;Exploratory;Walker, 1996;https://doi.org/10.1007/BF02342227;19;;x;mean SEM extracted;body weight;Fig 1;% change;;vehicle_d26;;;11,94900132;1,894346581;6,282836831;11;;-0,07;4,943319626;0,963855422;-0,014204994;0,417428809;23;1;implicit inclusion;2;healthy and positive model;0;na;;na;3
New screening 2020-25;Exploratory;Walker, 1996;https://doi.org/10.1007/BF02342227;19;;x;mean SEM extracted;body weight;Fig 1;% change;;buprenorphine_d26;;;12,02185439;0,947181629;3,281133409;12;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Van der Feen, 2019;https://doi.org/10.1164/rccm.201812-2275OC;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 B;mmHg;Quebec;vehicle;;ctrl;94,37507406;;12,76930449;13;RVX is the pharmacological inhibitor of BRD1;21,20;11,93816925;0,957746479;1,700488427;0,540436622;20;0;unclear;2;negative (veh) and positive standard of care;1;randomized trial;0;na;3
New screening 2020-25;Multi_lab;Van der Feen, 2019;https://doi.org/10.1164/rccm.201812-2275OC;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 B;mmHg;Quebec;RVX;;treated;73,17873548;;10,07220832;7;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Van der Feen, 2019;https://doi.org/10.1164/rccm.201812-2275OC;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 E;mmHg;Amsterdam;vehicle;;ctrl;57,7137148;;8,273114706;11;;15,72;8,166128647;0,962025316;1,852090199;0,509684352;22;;;;;;;;;
New screening 2020-25;Multi_lab;Van der Feen, 2019;https://doi.org/10.1164/rccm.201812-2275OC;17;8;x;Raw data plot extracted;sRVP (systolic pressure);Fig 4 E;mmHg;Amsterdam;RVX;;treated;41,99229191;;8,05772221;11;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Odense;IgG control;;ctrl;67,12819957;;24,71957189;10;;-5,60;22,43508287;0,96;-0,239584736;0,43849262;21;2;both well documented;1;isotype ctrl;1;simple randomization;2;fully blinded;6
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Odense;anti-IL17a;;treated;72,72726561;;20,15889584;11;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;New York;IgG control;;ctrl;62,28632245;;25,75973782;12;;12,85;28,86151561;0,96969697;0,43175214;0,391729544;27;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;New York;anti-IL17a;;treated;49,4358944;;31,08223202;15;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Hamburg;IgG control;;ctrl;83,98628594;;42,59204069;14;;26,39;38,58737297;0,971962617;0,664634154;0,381721653;29;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Hamburg;anti-IL17a;;treated;57,59999746;;34,45446211;15;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Münster;IgG control;;ctrl;83,77600208;;37,10410705;16;;14,19;34,49760082;0,974789916;0,401019753;0,357089293;32;;;;;;;;;
New screening 2020-25;Multi_lab;Gelderblom, 2023;https://doi.org/10.1093/braincomms/fcad090;18;9;x;Raw data plot extracted;infarct volume;Sup Fig 4a;mm3;Münster;anti-IL17a;;treated;69,58400117;;31,67734466;16;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Seveljevic-Jaran, 2023;https://doi.org/10.21873/invivo.13060;19;;x;mean and SD extracted;body weight;Fig 1;g;Croatia;untreated_d26;;;169,3129351;;8,702263135;8;;-10,53;7,110290266;0,945454545;-1,400755904;0,55795713;16;2;both mentioned;2;both neg and positive (IND) ;2;block;1;assessment blinded;7
New screening 2020-25;Multi_lab;Seveljevic-Jaran, 2023;https://doi.org/10.21873/invivo.13060;19;;x;mean and SD extracted;body weight;Fig 1;g;Croatia;buprenorphine_d26;;;179,8473189;;5,038161537;8;;;;;;;;;;;;;;;;
New screening 2020-25;Multi_lab;Seveljevic-Jaran, 2023;https://doi.org/10.21873/invivo.13060;19;;x;mean and SD extracted;body weight;Fig 1;g;Israel;untreated_d26;;;155,5724755;;7,328203196;8;;-5,04;6,288321949;0,945454545;-0,75749712;0,517620816;16;;;;;;;;;
New screening 2020-25;Multi_lab;Seveljevic-Jaran, 2023;https://doi.org/10.21873/invivo.13060;19;;x;mean and SD extracted;body weight;Fig 1;g;Israel;buprenorphine_d26;;;160,610672;;5,038196481;8;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
